Job,Company,Location,Salary,Experience,Skills,Type
AI Engineer,Google,Bangalore,₹12-25 LPA,0-2 Years,"Python, Machine Learning, TensorFlow",Full Time
Data Scientist,Amazon,Hyderabad,₹10-22 LPA,0-2 Years,"Python, SQL, Pandas",Full Time
Software Developer,TCS,Chennai,₹4-8 LPA,Fresher,"Java, Python, Git",Full Time
Cyber Security Analyst,IBM,Pune,₹6-12 LPA,0-2 Years,"Networking, Linux, Security",Full Time
Cloud Engineer,Microsoft,Hyderabad,₹8-18 LPA,1-3 Years,"AWS, Azure, Docker",Full Time
AI Engineer,Google,Bangalore,₹12-25 LPA,0-2 Years,Full Time,Python;TensorFlow;Deep Learning
Machine Learning Engineer,Microsoft,Hyderabad,₹10-22 LPA,1-3 Years,Full Time,Python;Scikit-learn;ML
Data Scientist,Amazon,Bangalore,₹10-20 LPA,1-3 Years,Full Time,Python;SQL;Machine Learning
Data Analyst,Infosys,Chennai,₹5-9 LPA,Fresher,Full Time,Excel;SQL;Power BI
Business Analyst,Deloitte,Hyderabad,₹6-12 LPA,0-2 Years,Full Time,SQL;Excel;Communication
Software Developer,Zoho,Chennai,₹6-10 LPA,Fresher,Full Time,Java;Python;DSA
Full Stack Developer,Freshworks,Chennai,₹8-15 LPA,1-3 Years,Full Time,React;Node.js;MongoDB
Frontend Developer,TCS,Chennai,₹4-8 LPA,Fresher,Full Time,HTML;CSS;JavaScript
Backend Developer,Oracle,Bangalore,₹8-16 LPA,1-3 Years,Full Time,Java;Spring Boot;SQL
DevOps Engineer,IBM,Bangalore,₹9-18 LPA,1-3 Years,Full Time,Docker;Kubernetes;AWS
Network Engineer,Cisco,Chennai,₹5-10 LPA,Fresher,Full Time,Networking;CCNA;Linux
Cyber Security Analyst,IBM,Bangalore,₹8-16 LPA,1-3 Years,Full Time,Ethical Hacking;Python;Linux
Ethical Hacker,Deloitte,Hyderabad,₹7-14 LPA,1-2 Years,Full Time,Kali Linux;Networking;Python
Cloud Engineer,Amazon,Bangalore,₹10-20 LPA,1-3 Years,Full Time,AWS;Docker;Kubernetes
UI/UX Designer,Adobe,Bangalore,₹6-12 LPA,Fresher,Full Time,Figma;Adobe XD;UI Design
Mobile App Developer,Zoho,Chennai,₹6-14 LPA,0-2 Years,Full Time,Flutter;Firebase;Dart
Blockchain Developer,Polygon,Bangalore,₹12-24 LPA,1-3 Years,Full Time,Solidity;Ethereum;Web3
IoT Engineer,Bosch,Bangalore,₹6-15 LPA,Fresher,Full Time,Arduino;Raspberry Pi;Python
Robotics Engineer,ABB,Bangalore,₹8-18 LPA,1-3 Years,Full Time,ROS;Python;Embedded Systems
Game Developer,Ubisoft,Pune,₹6-15 LPA,Fresher,Full Time,Unity;C#;Game Design
AI Research Scientist,OpenAI,Bangalore,₹18-35 LPA,2-5 Years,Full Time,Python;PyTorch;Deep Learning;Research
AI Research Scientist,Google DeepMind,Hyderabad,₹20-40 LPA,3-6 Years,Full Time,Python;TensorFlow;LLMs
NLP Engineer,Microsoft,Hyderabad,₹12-24 LPA,1-3 Years,Full Time,Python;NLP;Transformers;Hugging Face
NLP Engineer,Amazon,Bangalore,₹10-22 LPA,1-3 Years,Full Time,Python;BERT;LLMs
Computer Vision Engineer,NVIDIA,Bangalore,₹12-26 LPA,1-3 Years,Full Time,OpenCV;Python;PyTorch
Computer Vision Engineer,Tesla,Bangalore,₹15-30 LPA,2-4 Years,Full Time,Computer Vision;Deep Learning
Prompt Engineer,OpenAI,Remote,₹10-22 LPA,Fresher,Remote,Prompt Engineering;ChatGPT;LLMs
Prompt Engineer,Anthropic,Remote,₹12-24 LPA,1-2 Years,Remote,Claude;Prompt Design;AI
Generative AI Engineer,Google,Bangalore,₹15-30 LPA,2-4 Years,Full Time,LangChain;Python;LLMs
Generative AI Engineer,Amazon,Hyderabad,₹14-28 LPA,2-4 Years,Full Time,OpenAI API;RAG;Python
MLOps Engineer,Microsoft,Hyderabad,₹12-25 LPA,2-4 Years,Full Time,Docker;Kubernetes;MLflow
MLOps Engineer,Google,Bangalore,₹14-28 LPA,2-5 Years,Full Time,AWS;CI/CD;Python
Data Engineer,Netflix,Bangalore,₹10-22 LPA,1-3 Years,Full Time,Spark;SQL;Python
Data Engineer,Oracle,Bangalore,₹9-20 LPA,1-3 Years,Full Time,Hadoop;ETL;SQL
Big Data Engineer,IBM,Bangalore,₹12-24 LPA,2-4 Years,Full Time,Hadoop;Kafka;Spark
Big Data Engineer,Cloudera,Remote,₹12-25 LPA,2-4 Years,Remote,Hadoop;Scala;Big Data
Site Reliability Engineer,Google,Hyderabad,₹18-32 LPA,2-5 Years,Full Time,Linux;Kubernetes;AWS
Site Reliability Engineer,Amazon,Bangalore,₹16-30 LPA,2-5 Years,Full Time,Docker;Cloud;Monitoring
QA Automation Engineer,TCS,Chennai,₹5-10 LPA,Fresher,Full Time,Selenium;Java;Testing
QA Automation Engineer,Cognizant,Coimbatore,₹6-12 LPA,1-2 Years,Full Time,Python;Automation;Selenium
Embedded Systems Engineer,Bosch,Coimbatore,₹7-15 LPA,Fresher,Full Time,C;Embedded C;Microcontrollers
Firmware Engineer,Intel,Bangalore,₹10-18 LPA,1-3 Years,Full Time,C++;RTOS;Firmware
Database Administrator,Oracle,Bangalore,₹8-18 LPA,1-3 Years,Full Time,Oracle SQL;Database
System Administrator,HCL,Chennai,₹5-12 LPA,Fresher,Full Time,Linux;Windows Server
AR/VR Developer,Meta,Bangalore,₹12-24 LPA,1-3 Years,Full Time,Unity;C#;AR;VR
ERP Consultant,Accenture,Chennai,₹8-18 LPA,1-3 Years,Full Time,SAP;ERP;Business Analysis
ERP Consultant,Deloitte,Bangalore,₹10-20 LPA,2-4 Years,Full Time,SAP;ERP;Consulting
SAP Consultant,IBM,Hyderabad,₹10-22 LPA,1-3 Years,Full Time,SAP;ABAP;ERP
SAP Consultant,Capgemini,Bangalore,₹10-20 LPA,1-3 Years,Full Time,SAP S4HANA;ABAP
Salesforce Developer,Salesforce,Hyderabad,₹10-22 LPA,1-3 Years,Full Time,Apex;Lightning;Salesforce
Salesforce Developer,Cognizant,Chennai,₹8-18 LPA,1-3 Years,Full Time,CRM;Salesforce;SOQL
Product Manager,Google,Bangalore,₹18-35 LPA,3-6 Years,Full Time,Leadership;Product Strategy;Agile
Product Manager,Amazon,Hyderabad,₹18-32 LPA,3-5 Years,Full Time,Roadmaps;Agile;Communication
Technical Consultant,EY,Chennai,₹8-16 LPA,1-3 Years,Full Time,Cloud;SQL;Problem Solving
Technical Consultant,Accenture,Bangalore,₹8-18 LPA,1-3 Years,Full Time,Azure;Consulting;Networking
AI Product Manager,Microsoft,Hyderabad,₹20-38 LPA,3-6 Years,Full Time,AI;Leadership;Strategy
AI Product Manager,Google,Bangalore,₹22-40 LPA,4-6 Years,Full Time,AI Products;LLMs;Agile
Data Architect,Oracle,Bangalore,₹18-32 LPA,3-6 Years,Full Time,ETL;SQL;Data Warehouse
Data Architect,IBM,Hyderabad,₹16-30 LPA,3-5 Years,Full Time,Cloud Data;Architecture
Solutions Architect,Amazon,Bangalore,₹22-40 LPA,4-7 Years,Full Time,AWS;Architecture;Cloud
Solutions Architect,Microsoft,Hyderabad,₹20-38 LPA,4-6 Years,Full Time,Azure;System Design
Security Engineer,Cisco,Bangalore,₹12-24 LPA,2-4 Years,Full Time,Firewalls;Linux;Python
Security Engineer,Palo Alto Networks,Bangalore,₹15-28 LPA,2-5 Years,Full Time,Cyber Security;Networking
SOC Analyst,TCS,Chennai,₹6-12 LPA,Fresher,Full Time,SIEM;Incident Response
SOC Analyst,IBM,Bangalore,₹8-15 LPA,1-3 Years,Full Time,SOC;Linux;Networking
Digital Forensics Analyst,Deloitte,Hyderabad,₹8-18 LPA,1-3 Years,Full Time,Forensics;Cyber Security
Digital Forensics Analyst,KPMG,Bangalore,₹8-18 LPA,1-3 Years,Full Time,Digital Evidence;Linux
Penetration Tester,Cisco,Bangalore,₹10-20 LPA,2-4 Years,Full Time,Kali Linux;OWASP;Python
Blockchain Security Engineer,Polygon,Bangalore,₹14-28 LPA,2-5 Years,Full Time,Blockchain;Security;Solidity
Computer Graphics Engineer,NVIDIA,Bangalore,₹15-30 LPA,2-5 Years,Full Time,OpenGL;Vulkan;C++
Robotics Software Engineer,ABB,Bangalore,₹12-24 LPA,2-4 Years,Full Time,ROS;Python;C++
Robotics Software Engineer,Boston Dynamics,Remote,₹18-35 LPA,3-5 Years,Remote,Robotics;AI;ROS
Game Developer,Ubisoft,Pune,₹6-15 LPA,Fresher,Full Time,Unity;C#;Game Development
Game Developer,Rockstar Games,Bangalore,₹10-20 LPA,2-4 Years,Full Time,Unreal Engine;C++;Game Design
Frontend Developer,Zoho,Chennai,₹6-12 LPA,Fresher,Full Time,React;JavaScript;HTML;CSS
Frontend Developer,Freshworks,Chennai,₹8-15 LPA,1-3 Years,Full Time,React;TypeScript;UI
Backend Developer,Oracle,Bangalore,₹8-16 LPA,1-3 Years,Full Time,Java;Spring Boot;SQL
Backend Developer,PayPal,Chennai,₹10-18 LPA,2-4 Years,Full Time,Node.js;MongoDB;REST API
Full Stack Developer,Freshworks,Chennai,₹8-16 LPA,1-3 Years,Full Time,React;Node.js;MongoDB
Full Stack Developer,Zoho,Chennai,₹8-16 LPA,1-3 Years,Full Time,Angular;Java;MySQL
Cloud Engineer,Google Cloud,Bangalore,₹14-28 LPA,2-4 Years,Full Time,GCP;Docker;Kubernetes
Cloud Engineer,Microsoft Azure,Hyderabad,₹12-24 LPA,2-4 Years,Full Time,Azure;Terraform;Linux
DevOps Engineer,Infosys,Bangalore,₹8-18 LPA,1-3 Years,Full Time,Docker;Jenkins;AWS
DevOps Engineer,Wipro,Hyderabad,₹8-18 LPA,1-3 Years,Full Time,Kubernetes;CI/CD;Linux
Mobile App Developer,Google,Bangalore,₹10-20 LPA,2-4 Years,Full Time,Flutter;Firebase;Android
Mobile App Developer,Infosys,Mysore,₹6-14 LPA,Fresher,Full Time,Kotlin;Java;Android
UI/UX Designer,Adobe,Bangalore,₹8-18 LPA,1-3 Years,Full Time,Figma;Adobe XD;UX Research
UI/UX Designer,Zoho,Chennai,₹7-15 LPA,1-3 Years,Full Time,UI Design;Wireframing;Figma
Business Analyst,Deloitte,Hyderabad,₹8-18 LPA,1-3 Years,Full Time,SQL;Power BI;Communication
